VendorNumber,VendorName,Brand,Description,Classification,RetailPrice,UnitPurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,AvgSalesPrice,TotalExciseTax,VendorFreightCost,AllocatedFreightCost,GrossProfit,ProfitMargin%,NetProfit,NetProfitMargin%,StockTurnover,SalesPurchaseRatio,PriceMarkup%,AvgUnitsSoldPerDay,VolumeCategory,PerformanceTier,IsUnderperforming,Cluster,ClusterLabel,PredictedUnderperforming,UnderperformingRiskScore
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,1,36.99,26.27,1750.0,145080,3811251.600000111,142049.0,5101919.510000559,36.233470299955265,260999.2000000145,68601.68000000001,19325.15,1290667.9100004476,25.297692514955152,1271342.7600004477,24.918910569020493,0.9791080783016267,1.338646734841754,40.80700418728589,388.11,Magnum(1001-1750ml),Mid,0,1,High Volume Giants,0,0.0003
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,1,28.99,23.19,1750.0,164038,3804041.2199999536,160247.0,4819073.490000401,30.314331911672433,294438.6600000097,144929.24,19787.63,1015032.270000447,21.062809523586715,995244.640000447,20.65219885244714,0.9768895012131336,1.2668299871893762,25.010780508840003,437.83,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0189
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,1,24.99,18.24,1750.0,187407,3418303.680000034,187140.0,4538120.600000365,24.48315104857366,343854.07000000787,123780.21999999997,17539.25,1119816.9200003305,24.67578583081817,1102277.6700003305,24.28929874627488,0.9985752933454993,1.3275943347433425,37.006578947368425,511.31,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0004
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,1,22.99,16.17,1750.0,201682,3261197.94000002,200412.0,4475972.880000464,22.830045654649528,368242.8000000149,257032.07000000007,16448.9,1214774.9400004437,27.13990840803124,1198326.0400004438,26.772415117946817,0.9937029581221923,1.3724934709116234,42.176870748299294,547.57,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0004
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,1,29.99,21.89,1750.0,138109,3023206.0099999965,135838.0,4223107.620000436,31.417124107753143,249587.83000001253,257032.07000000007,15248.51,1199901.6100004395,28.412764200414,1184653.1000004394,28.051690996222284,0.9835564662693959,1.3968970708683002,37.003197807217894,371.14,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0003
480,BACARDI USA INC,3858,Grey Goose Vodka,1,23.99,17.77,750.0,138809,2466635.930000039,141860.0,3383912.4000005093,24.56885767686716,111699.18999999705,89286.26999999999,12496.14,917276.4700004705,27.10698036983264,904780.3300004705,26.73769953383942,1.0219798428055817,1.3718734730343671,35.00281373100731,387.6,Standard(201-750ml),High,0,1,High Volume Giants,0,0.0
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,1,39.99,30.76,1750.0,70783,2177285.0800000825,69627.0,2773367.729999988,40.52019912962524,127931.66999998408,123780.21999999997,11171.61,596082.6499999054,21.493098212399982,584911.0399999054,21.090280732440338,0.9836683949535906,1.2737733590678364,30.006501950585175,190.24,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0003
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,1,17.99,12.94,1750.0,161386,2088334.8399999859,148265.0,2592041.349999925,17.65652585842316,272422.6000000083,257032.07000000007,10533.19,503706.50999993924,19.43281151745337,493173.31999993924,19.026444929204292,0.9186980283295949,1.2412000701956123,39.026275115919624,405.1,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0003
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,1,27.99,20.73,1750.0,91835,1903739.5499999446,90481.0,2640491.190000111,29.457306117668146,166244.44000000262,257032.07000000007,9602.12,736751.6400001661,27.902067720973356,727149.5200001661,27.53841871368394,0.9852561659498013,1.3870023291790032,35.021707670043405,247.22,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0019
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,1,21.99,16.29,1750.0,108866,1773427.139999997,107061.0,2435393.38999984,23.048417017594797,196707.35000000568,123880.96999999999,9077.08,661966.2499998428,27.18108099980867,652889.1699998429,26.808365855008166,0.9834199842007606,1.373269493326827,34.99079189686925,292.52,Magnum(1001-1750ml),High,0,1,High Volume Giants,0,0.0003
